CalendarYear,FishingMethod,Licences,Days,Tonnes
1990,Beam Trawl,128,5129,293.54
1990,Collection,N/A,N/A,N/A
1990,Diving,N/A,N/A,N/A
1990,Line,660,24863,"3,612.61"
1990,Net,668,38396,"5,576.95"
1990,Other,N/A,N/A,N/A
1990,Otter Trawl,865,91448,"11,127.78"
1990,Pot,469,25320,"1,217.47"
1990 Total,,1796,177920,"21,831.77"
1991,Beam Trawl,142,5763,383.75
1991,Diving,N/A,N/A,N/A
1991,Line,606,23212,"3,687.6"
1991,Net,673,36075,"5,167.51"
1991,Other,N/A,N/A,N/A
1991,Otter Trawl,865,90594,"9,949.92"
1991,Pot,486,26300,"1,573.02"
1991 Total,,1765,175919,"20,768.69"
1992,Beam Trawl,137,4543,299.22
1992,Diving,N/A,N/A,N/A
1992,Fish Trawling,N/A,N/A,N/A
1992,Line,566,25423,"3,800.83"
1992,Net,632,34229,"6,447.28"
1992,Other,13,104,
1992,Otter Trawl,796,84469,"9,542.51"
1992,Pot,465,27912,"1,949.6"
1992 Total,,1680,170002,"22,293.79"
1993,Beam Trawl,107,4428,257.19
1993,Collection,N/A,N/A,N/A
1993,Diving,N/A,N/A,N/A
1993,Fish Trawling,N/A,N/A,N/A
1993,Line,614,29976,"3,853.79"
1993,Net,676,41008,"5,164.46"
1993,Other,42,430,
1993,Otter Trawl,816,97228,"11,839.99"
1993,Pot,547,36708,"3,110.39"
1993 Total,,1788,201944,"24,407.44"
1994,Beam Trawl,110,5745,310.64
1994,Diving,N/A,N/A,N/A
1994,Fish Trawling,N/A,N/A,N/A
1994,Line,585,30298,"3,748.85"
1994,Net,632,41156,"5,251.53"
1994,Other,65,346,
1994,Otter Trawl,758,93898,"11,405.97"
1994,Pot,599,46314,"4,370.23"
1994 Total,,1782,210694,"25,574.4"
1995,Beam Trawl,91,5582,442.02
1995,Diving,N/A,N/A,N/A
1995,Fish Trawling,N/A,N/A,N/A
1995,Line,610,31662,"4,034.07"
1995,Net,632,42270,"6,116.77"
1995,Other,59,361,
1995,Otter Trawl,756,97845,"13,157.69"
1995,Pot,592,44285,"3,811.53"
1995 Total,,1796,215205,"27,978.03"
1996,Beam Trawl,102,5672,367.8
1996,Diving,N/A,N/A,N/A
1996,Line,719,37080,"4,560.95"
1996,Net,660,44233,"6,226.11"
1996,Other,39,335,
1996,Otter Trawl,774,105199,"13,375.2"
1996,Pot,604,46317,"3,668.59"
1996 Total,,1870,230374,"28,212.23"
1997,Beam Trawl,96,6649,325.21
1997,Collection,N/A,N/A,N/A
1997,Diving,N/A,N/A,N/A
1997,Fish Trawling,N/A,N/A,N/A
1997,Line,844,44092,"5,261.75"
1997,Net,669,47702,"5,994.4"
1997,Other,46,427,
1997,Otter Trawl,771,109624,"11,771.4"
1997,Pot,635,51594,"4,077.37"
1997,Trap,N/A,N/A,N/A
1997 Total,,1896,248580,"27,830.85"
1998,Beam Trawl,102,8201,487.47
1998,Diving,N/A,N/A,N/A
1998,Fish Trawling,N/A,N/A,N/A
1998,Line,829,43395,"5,638.5"
1998,Net,606,43767,"6,894.97"
1998,Other,55,433,
1998,Otter Trawl,757,106127,"12,489.71"
1998,Pot,598,48483,"3,144.31"
1998,Trap,N/A,N/A,N/A
1998 Total,,1819,239577,"29,057.29"
1999,Beam Trawl,101,8029,402.29
1999,Diving,N/A,N/A,N/A
1999,Fish Trawling,N/A,N/A,N/A
1999,Line,814,40531,"5,461.22"
1999,Net,604,43033,"7,348.6"
1999,Other,145,669,
1999,Otter Trawl,739,100382,"11,278.53"
1999,Pot,601,52910,"3,252.41"
1999 Total,,1792,232571,"27,869.97"
2000,Beam Trawl,90,6403,267.59
2000,Diving,N/A,N/A,N/A
2000,Fish Trawling,5,365,426.18
2000,Line,724,38438,"5,254.66"
2000,Net,619,43354,"7,334.53"
2000,Other,245,1293,0.04
2000,Otter Trawl,711,91873,"8,448.26"
2000,Pot,594,56657,"3,729.28"
2000 Total,,1746,225817,"25,465.61"
2001,Beam Trawl,97,7328,375.78
2001,Diving,N/A,N/A,N/A
2001,Fish Trawling,6,400,878.11
2001,Line,727,47646,"6,283.74"
2001,Net,630,45474,"8,691.7"
2001,Other,199,1280,
2001,Otter Trawl,586,69129,"8,138.22"
2001,Pot,618,58315,"4,040.12"
2001 Total,,1677,217492,"28,407.78"
2002,Beam Trawl,94,6916,400.76
2002,Diving,N/A,N/A,N/A
2002,Fish Trawling,7,510,"1,062.74"
2002,Line,749,50845,"6,060.36"
2002,Net,615,43855,"7,371.86"
2002,Other,370,2240,0.5
2002,Otter Trawl,521,67932,"8,544.96"
2002,Pot,616,57900,"3,631.44"
2002 Total,,1656,218884,"27,072.64"
2003,Beam Trawl,100,8342,430.48
2003,Fish Trawling,N/A,N/A,N/A
2003,Line,706,44742,"5,475.02"
2003,Net,639,48149,"8,551.7"
2003,Other,302,1640,
2003,Otter Trawl,508,66646,"8,776.5"
2003,Pot,645,68551,"4,054.93"
2003 Total,,1645,222473,"27,794.02"
2004,Beam Trawl,105,7958,562.38
2004,Fish Trawling,7,542,"1,382.37"
2004,Line,541,28369,"3,309.34"
2004,Net,633,48396,"8,966.41"
2004,Other,432,3011,
2004,Otter Trawl,486,64236,"9,070.37"
2004,Pot,623,64240,"4,054.6"
2004 Total,,1574,202016,"27,345.47"
2005,Beam Trawl,95,6787,388.65
2005,Fish Trawling,7,545,"1,561.16"
2005,Line,447,23423,"2,939.07"
2005,Net,543,39581,"7,149.63"
2005,Other,386,2474,
2005,Otter Trawl,449,54620,"7,819.53"
2005,Pot,544,54124,"3,244.4"
2005 Total,,1411,171023,"23,102.44"
2006,Beam Trawl,94,6115,395.18
2006,Danish Seine,N/A,N/A,N/A
2006,Fish Trawling,7,620,"1,554.06"
2006,Line,445,21454,"2,988.88"
2006,Net,540,39275,"7,609.98"
2006,Other,229,1711,
2006,Otter Trawl,422,46871,"7,056.76"
2006,Pot,537,52681,"3,148.61"
2006 Total,,1392,159878,"22,764.62"
2007,Beam Trawl,81,5961,378.69
2007,Danish Seine,N/A,N/A,N/A
2007,Fish Trawling,6,528,"1,173.54"
2007,Line,469,22717,"2,931.38"
2007,Net,545,38362,"7,298.23"
2007,Other,122,1331,
2007,Otter Trawl,377,40274,"5,864.19"
2007,Pot,534,50991,"3,196.55"
2007 Total,,1347,152023,"21,182.75"
2008,Beam Trawl,89,6085,427.22
2008,Danish Seine,N/A,N/A,N/A
2008,Fish Trawling,6,555,"1,002.36"
2008,Line,469,22559,"3,117.47"
2008,Net,552,38947,"8,015.36"
2008,Other,122,1171,
2008,Otter Trawl,342,36404,"6,188.51"
2008,Pot,545,51465,"3,273.81"
2008 Total,,1317,148681,"22,517.25"
2009,Beam Trawl,86,5636,422.69
2009,Danish Seine,N/A,N/A,N/A
2009,Fish Trawling,6,600,"1,464.89"
2009,Line,471,23353,"3,195.51"
2009,Net,514,35234,"7,492.29"
2009,Other,124,941,
2009,Otter Trawl,347,39196,"8,151.59"
2009,Pot,504,51106,"2,973.42"
2009 Total,,1292,148199,"24,177.42"
2010,Beam Trawl,85,5286,461.97
2010,Danish Seine,N/A,N/A,N/A
2010,Fish Trawling,6,636,"1,419.59"
2010,Line,428,21191,"2,679.86"
2010,Net,484,33768,"7,146.85"
2010,Other,101,767,
2010,Otter Trawl,333,38254,"7,203.61"
2010,Pot,462,50711,"2,883.09"
2010 Total,,1259,143785,"22,178.92"
2011,Beam Trawl,68,2854,236.07
2011,Danish Seine,N/A,N/A,N/A
2011,Fish Trawling,7,590,"1,102.99"
2011,Line,422,18967,"2,310.66"
2011,Net,490,32780,"7,193.12"
2011,Other,135,843,
2011,Otter Trawl,331,36380,"6,459.08"
2011,Pot,459,51285,"3,059.82"
2011 Total,,1239,137850,"20,567.74"
