Area,SpeciesGroup,CalendarYear,NumberCaught Total
Bribie Island,Mammal,2022,1
Bribie Island,Mammal,2023,1
Bribie Island,Mammal Total,,2
Bribie Island,Shark,2017,1
Bribie Island,Shark,2018,2
Bribie Island,Shark,2019,1
Bribie Island,Shark,2020,1
Bribie Island,Shark,2021,1
Bribie Island,Shark,2022,3
Bribie Island,Shark,2023,2
Bribie Island,Shark Total,,11
Bribie Island,Turtle,2021,1
Bribie Island,Turtle,2023,1
Bribie Island,Turtle Total,,2
Bribie Island Total,,,15
Bundaberg,Other,2001,1
Bundaberg,Other,2002,3
Bundaberg,Other,2003,1
Bundaberg,Other,2004,1
Bundaberg,Other,2005,6
Bundaberg,Other,2006,1
Bundaberg,Other,2007,6
Bundaberg,Other,2008,3
Bundaberg,Other,2009,3
Bundaberg,Other,2010,3
Bundaberg,Other,2011,6
Bundaberg,Other,2012,3
Bundaberg,Other,2013,4
Bundaberg,Other,2014,3
Bundaberg,Other,2015,5
Bundaberg,Other,2017,1
Bundaberg,Other,2018,1
Bundaberg,Other,2019,1
Bundaberg,Other,2020,1
Bundaberg,Other,2021,2
Bundaberg,Other,2023,1
Bundaberg,Other Total,,56
Bundaberg,Shark,2001,62
Bundaberg,Shark,2002,62
Bundaberg,Shark,2003,50
Bundaberg,Shark,2004,39
Bundaberg,Shark,2005,69
Bundaberg,Shark,2006,49
Bundaberg,Shark,2007,48
Bundaberg,Shark,2008,53
Bundaberg,Shark,2009,30
Bundaberg,Shark,2010,42
Bundaberg,Shark,2011,65
Bundaberg,Shark,2012,56
Bundaberg,Shark,2013,76
Bundaberg,Shark,2014,57
Bundaberg,Shark,2015,45
Bundaberg,Shark,2016,52
Bundaberg,Shark,2017,54
Bundaberg,Shark,2018,53
Bundaberg,Shark,2019,58
Bundaberg,Shark,2020,55
Bundaberg,Shark,2021,73
Bundaberg,Shark,2022,64
Bundaberg,Shark,2023,54
Bundaberg,Shark,2024,25
Bundaberg,Shark Total,,1291
Bundaberg,Turtle,2001,12
Bundaberg,Turtle,2002,7
Bundaberg,Turtle,2003,5
Bundaberg,Turtle,2004,8
Bundaberg,Turtle,2005,5
Bundaberg,Turtle,2006,2
Bundaberg,Turtle,2007,5
Bundaberg,Turtle,2008,5
